test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu,collision_counter
1,02/02/2022 13:54:05,1,0.03,0.94,135.39624762535095,36.61,0
3,02/02/2022 14:11:34,1,0.04,0.95,199.29833030700684,37.67,1
8,02/02/2022 15:09:00,1,0.01,0.84,138.68319749832153,39.6,0
10,02/02/2022 15:25:16,1,0.03,0.92,126.2668468952179,38.64,0
11,02/02/2022 15:28:29,1,0.02,0.81,162.15273427963257,38.89,0
12,02/02/2022 15:31:31,1,0.01,0.75,151.73209500312805,36.43,1
13,02/02/2022 15:45:10,0,0.01,0.69,1643815920.9483118,36.88,1
18,02/02/2022 16:43:11,1,0.02,0.78,173.88138246536255,40.01,0
20,02/02/2022 17:10:30,0,0.01,0.69,1643821041.4107354,36.9,1
21,02/02/2022 17:14:11,1,0.07,1.14,190.45907020568848,37.77,0
24,02/02/2022 17:45:08,1,0.03,0.88,188.36109066009521,34.17,1
29,02/02/2022 18:43:02,1,0.01,0.76,166.48838829994202,40.51,1
33,02/02/2022 19:27:18,1,0.03,0.81,167.67445731163025,41.23,0
38,02/02/2022 20:25:29,1,0.04,0.98,184.53845191001892,36.13,0
39,02/02/2022 20:31:23,1,0.07,1.26,323.91289830207825,29.25,1
40,02/02/2022 20:34:08,1,0.04,0.97,134.49596881866455,38.13,0
42,02/02/2022 20:51:20,1,0.01,0.7,182.86284971237183,41.36,0
43,02/02/2022 20:54:19,1,0.04,0.91,148.97943758964539,37.58,0
49,02/02/2022 22:05:53,1,0.02,0.8,166.37323451042175,36.47,1
50,02/02/2022 22:09:19,1,0.03,0.81,176.3359489440918,41.39,0
52,02/02/2022 22:36:38,0,0.1,1.37,1643840609.1721811,46.19,1
53,02/02/2022 22:39:28,1,0.01,0.8,139.06233882904053,41.54,1
54,02/02/2022 22:42:29,1,0.01,0.83,151.66410493850708,41.19,0
56,02/02/2022 22:59:23,1,0.03,0.77,163.91180109977722,35.93,1
57,02/02/2022 23:02:33,1,0.02,0.83,159.7389531135559,38.92,0
59,02/02/2022 23:29:51,0,0.0,0.7,1643843802.819002,36.11,1
60,02/02/2022 23:32:47,1,0.02,0.75,145.30418872833252,35.38,1
62,03/02/2022 00:00:06,0,0.01,0.65,1643845616.9800293,36.96,1
63,03/02/2022 00:03:56,1,0.06,1.06,200.0064241886139,37.2,1
65,03/02/2022 00:31:14,0,0.0,0.68,1643847485.6716878,36.36,1
67,03/02/2022 00:47:59,1,0.03,0.91,154.63795518875122,38.5,0
72,03/02/2022 01:56:16,0,0.01,0.69,1643852587.1277392,36.54,1
73,03/02/2022 01:59:38,1,0.01,0.75,171.41482138633728,38.11,1
76,03/02/2022 02:30:30,1,0.02,0.77,183.35424637794495,38.79,1
77,03/02/2022 02:33:38,1,0.04,1.0,157.14264845848083,37.62,1
79,03/02/2022 02:50:09,1,0.05,1.04,142.29364442825317,37.81,0
