test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu,collision_counter,,,,,,,,
8,02/02/2022 16:41:19,0,0.01,0.65,1643819292.04559,28.46,1,,,,,,,,
28,02/02/2022 20:31:25,0,0.02,0.75,1643833097.61134,29.88,1,,,,,,,,
41,03/02/2022 01:03:44,0,0.01,0.75,1643849436.95744,29.27,1,,,,,,,,
13,02/02/2022 15:45:10,0,0.01,0.69,1643815920.94831,36.88,1,,,,,,,,
20,02/02/2022 17:10:30,0,0.01,0.69,1643821041.41074,36.9,1,,,,,,,,
52,02/02/2022 22:36:38,0,0.1,1.37,1643840609.17218,46.19,1,,,,average_success,whole_average_sii,whole_average_rmi,,
59,02/02/2022 23:29:51,0,0,0.7,1643843802.819,36.11,1,,,,90.00%,0.03,0.87,,
62,03/02/2022 00:00:06,0,0.01,0.65,1643845616.98003,36.96,1,,,,,,,,
65,03/02/2022 00:31:14,0,0,0.68,1643847485.67169,36.36,1,,,,,,,,
72,03/02/2022 01:56:16,0,0.01,0.69,1643852587.12774,36.54,1,,,,,,,,
3,02/02/2022 16:00:12,1,0.04,0.95,243.099733352661,28.36,0,,,,only_succeeded,,,,
4,02/02/2022 16:04:30,1,0.04,0.98,224.752313137054,28.57,0,,,,succeeded_average_sii,succeeded_average_rmi,succeeded_average_time (s),succeeded_average_cpu (%),collisions
5,02/02/2022 16:09:03,1,0.02,0.88,238.676505804062,29.01,0,,,,0.0299,0.8789,250.1914,33.441,0.43
6,02/02/2022 16:13:53,1,0.01,0.8,255.920411586761,29.58,0,,,standard_deviation,0.015,0.1021,94.1991,5.1044,0.50
14,02/02/2022 17:55:07,1,0.07,1.06,285.366929769516,29.91,0,,,,,,,,
16,02/02/2022 18:13:22,1,0.01,0.82,239.736467838287,29.61,1,,,,,,,,
17,02/02/2022 18:18:44,1,0.06,1.08,288.535452842712,29.48,1,,,,,,,,
25,02/02/2022 19:59:30,1,0.03,0.85,261.272961854935,31.15,1,,,,,,,,
26,02/02/2022 20:04:02,1,0.01,0.77,238.082208395004,31.69,0,,,,,,,,
29,02/02/2022 20:37:18,1,0.05,0.97,318.931443214416,29.24,1,,,,,,,,
30,02/02/2022 20:49:50,1,0.02,0.92,718.234358787537,17.87,1,,,,,,,,
33,02/02/2022 22:08:42,1,0.05,1.04,386.707696914673,30.19,0,,,,,,,,
34,02/02/2022 22:14:08,1,0.03,0.9,292.606770038605,27.96,0,,,,,,,,
35,02/02/2022 22:20:23,1,0.02,0.86,341.054469108582,28.74,0,,,,,,,,
38,03/02/2022 00:27:58,1,0.04,0.96,415.760815382004,26.81,0,,,,,,,,
39,03/02/2022 00:36:21,1,0.03,0.86,356.610837221146,27.83,1,,,,,,,,
42,03/02/2022 01:08:04,1,0.03,0.87,225.771534919739,28.91,0,,,,,,,,
46,03/02/2022 08:18:59,1,0.02,0.84,333.892090320587,29.75,1,,,,,,,,
48,03/02/2022 08:38:48,1,0.03,0.83,331.987533330917,29.67,1,,,,,,,,
49,03/02/2022 08:45:57,1,0.02,0.83,395.781686544418,25.35,1,,,,,,,,
50,03/02/2022 08:51:39,1,0.04,0.92,305.913502931595,29.61,1,,,,,,,,
52,03/02/2022 09:11:20,1,0.01,0.8,325.366321802139,28.54,0,,,,,,,,
53,03/02/2022 09:17:15,1,0.01,0.78,320.239930868149,28.11,0,,,,,,,,
54,03/02/2022 09:24:28,1,0.04,0.99,399.389984607697,25.4,1,,,,,,,,
55,03/02/2022 10:22:29,1,0.04,0.99,381.895701646805,29.51,0,,,,,,,,
56,03/02/2022 10:28:41,1,0.03,0.85,338.00470495224,30.8,0,,,,,,,,
57,03/02/2022 10:36:14,1,0.02,0.82,419.371664524078,30.09,1,,,,,,,,
58,03/02/2022 10:41:20,1,0.05,1,272.148734331131,29.85,0,,,,,,,,
60,03/02/2022 11:00:56,1,0.03,0.84,321.582629442215,28.75,0,,,,,,,,
62,03/02/2022 11:20:21,1,0.02,0.84,309.304757595062,29.99,0,,,,,,,,
63,03/02/2022 11:25:29,1,0.01,0.76,274.361454725266,30.1,0,,,,,,,,
64,03/02/2022 11:30:36,1,0.03,0.81,272.786259651184,29.64,0,,,,,,,,
65,03/02/2022 11:37:18,1,0.03,0.9,254.380313396454,30.04,0,,,,,,,,
66,03/02/2022 11:43:05,1,0.02,0.82,313.609395027161,28.54,0,,,,,,,,
67,03/02/2022 11:49:24,1,0.02,0.79,343.952887773514,27.38,1,,,,,,,,
68,03/02/2022 11:54:13,1,0.03,0.92,255.34046792984,27.33,0,,,,,,,,
69,03/02/2022 11:59:45,1,0.07,1.08,297.816974163055,28.69,0,,,,,,,,
70,03/02/2022 12:07:28,1,0.04,0.9,427.971061229706,28.1,0,,,,,,,,
71,03/02/2022 12:12:46,1,0.01,0.7,284.425661325455,30.11,0,,,,,,,,
72,03/02/2022 12:18:50,1,0.03,0.78,330.600651741028,28.35,1,,,,,,,,
73,03/02/2022 12:25:53,1,0.03,0.85,388.524863004684,29.43,1,,,,,,,,
74,03/02/2022 12:30:35,1,0.04,0.98,248.718270540237,28.7,0,,,,,,,,
75,03/02/2022 12:36:04,1,0.02,0.73,294.692206382751,27.63,1,,,,,,,,
77,03/02/2022 12:56:14,1,0.03,0.85,355.001573562622,29.7,0,,,,,,,,
1,02/02/2022 13:54:05,1,0.03,0.94,135.396247625351,36.61,0,,,,,,,,
3,02/02/2022 14:11:34,1,0.04,0.95,199.298330307007,37.67,1,,,,,,,,
8,02/02/2022 15:09:00,1,0.01,0.84,138.683197498322,39.6,0,,,,,,,,
10,02/02/2022 15:25:16,1,0.03,0.92,126.266846895218,38.64,0,,,,,,,,
11,02/02/2022 15:28:29,1,0.02,0.81,162.152734279633,38.89,0,,,,,,,,
12,02/02/2022 15:31:31,1,0.01,0.75,151.732095003128,36.43,1,,,,,,,,
18,02/02/2022 16:43:11,1,0.02,0.78,173.881382465363,40.01,0,,,,,,,,
21,02/02/2022 17:14:11,1,0.07,1.14,190.459070205688,37.77,0,,,,,,,,
24,02/02/2022 17:45:08,1,0.03,0.88,188.361090660095,34.17,1,,,,,,,,
29,02/02/2022 18:43:02,1,0.01,0.76,166.488388299942,40.51,1,,,,,,,,
33,02/02/2022 19:27:18,1,0.03,0.81,167.67445731163,41.23,0,,,,,,,,
38,02/02/2022 20:25:29,1,0.04,0.98,184.538451910019,36.13,0,,,,,,,,
39,02/02/2022 20:31:23,1,0.07,1.26,323.912898302078,29.25,1,,,,,,,,
40,02/02/2022 20:34:08,1,0.04,0.97,134.495968818665,38.13,0,,,,,,,,
42,02/02/2022 20:51:20,1,0.01,0.7,182.862849712372,41.36,0,,,,,,,,
43,02/02/2022 20:54:19,1,0.04,0.91,148.979437589645,37.58,0,,,,,,,,
49,02/02/2022 22:05:53,1,0.02,0.8,166.373234510422,36.47,1,,,,,,,,
50,02/02/2022 22:09:19,1,0.03,0.81,176.335948944092,41.39,0,,,,,,,,
53,02/02/2022 22:39:28,1,0.01,0.8,139.062338829041,41.54,1,,,,,,,,
54,02/02/2022 22:42:29,1,0.01,0.83,151.664104938507,41.19,0,,,,,,,,
56,02/02/2022 22:59:23,1,0.03,0.77,163.911801099777,35.93,1,,,,,,,,
57,02/02/2022 23:02:33,1,0.02,0.83,159.738953113556,38.92,0,,,,,,,,
60,02/02/2022 23:32:47,1,0.02,0.75,145.304188728333,35.38,1,,,,,,,,
63,03/02/2022 00:03:56,1,0.06,1.06,200.006424188614,37.2,1,,,,,,,,
67,03/02/2022 00:47:59,1,0.03,0.91,154.637955188751,38.5,0,,,,,,,,
73,03/02/2022 01:59:38,1,0.01,0.75,171.414821386337,38.11,1,,,,,,,,
76,03/02/2022 02:30:30,1,0.02,0.77,183.354246377945,38.79,1,,,,,,,,
77,03/02/2022 02:33:38,1,0.04,1,157.142648458481,37.62,1,,,,,,,,
79,03/02/2022 02:50:09,1,0.05,1.04,142.293644428253,37.81,0,,,,,,,,
80,03/02/2022 10:27:28,1,0.03,0.91,212.519929885864,38.48,1,,,,,,,,
82,03/02/2022 10:45:24,1,0.02,0.83,225.587277173996,38.96,0,,,,,,,,
83,03/02/2022 10:49:19,1,0.03,0.88,205.02478480339,35.48,1,,,,,,,,
84,03/02/2022 10:53:40,1,0.03,0.85,230.819365501404,40.77,0,,,,,,,,
86,03/02/2022 11:10:44,1,0.03,0.87,174.91019821167,37.93,0,,,,,,,,
87,03/02/2022 11:14:49,1,0.02,0.76,214.509878158569,36.64,1,,,,,,,,
88,03/02/2022 11:18:25,1,0.03,0.84,185.729716539383,35.92,1,,,,,,,,
89,03/02/2022 11:37:49,1,0.02,0.83,166.20130443573,38.22,0,,,,,,,,
90,03/02/2022 11:41:47,1,0.02,0.84,207.952082872391,38.36,1,,,,,,,,
91,03/02/2022 11:46:30,1,0.05,0.99,251.921668052673,39.3,1,,,,,,,,
93,03/02/2022 11:57:50,1,0.03,0.88,230.644621372223,39.09,0,,,,,,,,
95,03/02/2022 12:08:59,1,0.02,0.84,218.866256952286,38.09,1,,,,,,,,
96,03/02/2022 12:12:24,1,0.03,0.89,174.491853237152,37.16,0,,,,,,,,
97,03/02/2022 12:15:51,1,0.04,0.88,177.018256425858,36.23,0,,,,,,,,
98,03/02/2022 12:20:17,1,0.04,0.87,235.871118783951,37.16,1,,,,,,,,
101,03/02/2022 12:37:57,1,0.02,0.8,190.372990608215,37.17,1,,,,,,,,
102,03/02/2022 12:41:48,1,0.05,1.05,200.175850629807,37.83,1,,,,,,,,
