test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu
1,04/05/2021 22:57:38,0,0.0,0.0,0.0,0.0
2,31/01/2022 22:52:08,0,0,0,0,0
3,01/02/2022 09:54:25,0,nan,0.5496164477228354,1643709257.2438505,80.53333028157552
4,01/02/2022 09:54:53,0,nan,nan,0.0,nan
5,01/02/2022 09:59:28,0,nan,0.56,1643709560.0436652,77.23
6,01/02/2022 09:59:56,0,nan,nan,0.0,nan
7,01/02/2022 10:02:27,0,0.0,0.54,1643709740.2510788,68.85
8,01/02/2022 10:02:56,0,nan,nan,0.0,nan
9,01/02/2022 10:05:16,0,0.0,0.58,1643709907.816898,73.63
