test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu,collision_counter,,,,,,
75,10/02/2022 11:03:58,0,0.03,1.09,1644490250.64429,19.42,1,,,,,,
76,10/02/2022 11:21:47,0,0,0.57,1644491072.39401,26.04,1,,,,,,
77,10/02/2022 11:35:30,0,0.01,0.95,1644492142.48481,21.84,1,,,,,,
78,10/02/2022 11:49:12,0,0.02,0.77,1644492964.73847,32.51,9,,,,,,
79,10/02/2022 12:02:54,0,0.02,0.94,1644493786.6015,22.91,1,,,,,,
80,10/02/2022 12:16:35,0,0.03,1.07,1644494608.07714,22.08,3,,,,,,
81,10/02/2022 12:30:17,0,0.15,1.66,1644495429.41363,11.91,1,,,,,,
82,10/02/2022 12:43:59,0,0.01,0.89,1644496251.0582,24.56,1,,,,,,
83,10/02/2022 12:57:40,0,0.01,0.57,1644497072.65146,24.45,1,,,,,,
84,10/02/2022 13:11:22,0,0.02,1.08,1644497895.07245,27.39,3,,,,,,
85,10/02/2022 13:25:05,0,0.01,0.65,1644498717.24887,25.37,1,,,,,,
86,10/02/2022 13:38:46,0,0.01,0.96,1644499539.21924,23.81,1,,,,,,
87,10/02/2022 13:52:29,0,0,0.78,1644500362.00271,17.5,1,,,,,,
88,10/02/2022 14:06:11,0,0,0.46,1644501183.4402,21.3,1,,,,,,
89,10/02/2022 14:19:53,0,0.02,0.97,1644502005.49144,25.12,1,,,,,,
90,10/02/2022 14:33:34,0,0,0.52,1644502826.92354,25.92,1,,,,,,
91,10/02/2022 14:47:17,0,0,0.59,1644503649.46547,32,6,,,,,,
92,10/02/2022 15:00:59,0,0,0.86,1644504471.39265,13.4,1,,,,,,
93,10/02/2022 15:14:40,0,0.01,0.94,1644505292.83852,24.17,1,,,,,,
94,10/02/2022 15:28:22,0,0.02,0.68,1644506114.22467,22.43,1,,,,,,
95,10/02/2022 15:42:04,0,0,0.63,1644506936.01194,22.12,3,,,,,,
96,10/02/2022 15:55:46,0,0.05,1.01,1644507758.38525,24.51,5,,,,,,
97,10/02/2022 16:09:28,0,0.01,0.89,1644508580.39816,23.27,1,,,,,,
98,10/02/2022 16:23:10,0,0.01,0.79,1644509402.59821,26.55,1,,,,,,
99,10/02/2022 16:36:52,0,0,0.54,1644510224.33474,21.31,1,,,,,,
100,10/02/2022 16:50:33,0,0,0.6,1644511045.72215,23.96,1,,,,,,
101,10/02/2022 17:04:15,0,0.03,0.64,1644511867.4444,24.25,1,,,,,,
102,10/02/2022 17:17:58,0,0.02,1.04,1644512690.2174,14.22,3,,,,,,
105,10/02/2022 17:54:45,0,0,0.66,1644514897.95852,33.08,8,,,,,,
106,10/02/2022 18:08:27,0,0,0.65,1644515718.93852,16.18,1,,,,,,
